Partner,Year,Month,NetWeight,TradeValue,CumulativeNetWeight,CumulativeTradeValue,UnitValue,CumulativeUnitValue
others,2019,5,0.36516000000000004,0.20183800000000002,0.826006,0.383869,0.5527385255778289,0.4647290697646264
others,2019,6,0.05004,0.026622,0.876046,0.410491,0.5320143884892086,0.4685724265620755
others,2019,7,0.129424,0.116467,1.00547,0.526958,0.8998871924836197,0.524091221021015
others,2019,9,0.02181,0.009616,1.02728,0.536574,0.44089867033470886,0.5223249746904447
others,2019,11,0.049391000000000004,0.023629999999999998,1.076671,0.560204,0.47842724382984747,0.5203112185616591
others,2020,2,0.1,0.033112,0.1,0.033112,0.33112,0.33112
others,2020,3,0.25,0.08605,0.35,0.119162,0.3442,0.3404628571428572
others,2020,4,0.4,0.133782,0.75,0.252944,0.334455,0.33725866666666665
others,2020,6,0.3001,0.142523,1.0501,0.395467,0.47491836054648456,0.37659937148842965
others,2020,7,0.175,0.09249099999999999,1.2250999999999999,0.487958,0.52852,0.39830054689413114
others,2020,8,0.125,0.05886999999999999,1.3500999999999999,0.546828,0.47095999999999993,0.40502777572031706
others,2020,9,0.05,0.030634,1.4001,0.577462,0.61268,0.41244339690022147
others,2020,10,0.14400000000000002,0.088004,1.5441,0.665466,0.6111388888888888,0.43097338255294343
others,2021,3,0.018,0.024526,0.018,0.024526,1.3625555555555555,1.3625555555555555
others,2021,4,0.35956099999999996,0.220823,0.377561,0.24534899999999998,0.6141461393198929,0.6498261208122661
others,2021,5,0.45389999999999997,0.293001,0.831461,0.53835,0.6455188367481824,0.6474747462598968
others,2021,6,0.55,0.279935,1.381461,0.8182849999999999,0.5089727272727272,0.5923330445086759
others,2021,7,0.1675,0.105932,1.548961,0.924217,0.6324298507462686,0.5966689929572145
others,2021,8,0.1575,0.11027,1.706461,1.034487,0.7001269841269842,0.6062177805411316
total,2016,1,1.1556069999999998,0.402634,1.1556069999999998,0.402634,0.3484177579401994,0.3484177579401994
total,2016,2,0.82081,0.365496,1.9764169999999999,0.76813,0.4452869726246025,0.3886477398241363
total,2016,3,0.94705,0.41029000000000004,2.9234669999999996,1.17842,0.43322950213821876,0.4030898929250784
total,2016,4,2.497536,0.918307,5.421003,2.096727,0.3676851905237802,0.3867784245830523
total,2016,5,3.673308,1.379318,9.094311,3.476045,0.3754975079682945,0.3822219187357899
